date,airTemperature,atmPressure,netRadiation,rainfall,relativeHumidity,soilTemperature
2015-09-12,NA,994.273,75.9,0.398,NA,14.463
2015-09-13,NA,989.625,5.562,11.542,NA,14.427
2015-09-14,NA,985.125,9.081,31.447,NA,14.233
2015-09-15,NA,987.125,86.674,6.766,NA,14.095
2015-09-16,NA,983.667,54.898,0.199,NA,14.015
2015-09-17,NA,988.667,64.233,1.194,NA,13.98
2015-09-18,NA,1003.375,42.372,0,NA,13.927
2015-09-19,NA,1013.5,42.143,0,NA,13.935
2015-09-20,NA,1009.125,2.749,5.771,NA,13.977
2015-09-21,NA,1000.083,35.05,5.174,NA,14.012
2015-09-22,NA,998.333,41.112,0.597,NA,13.998
2015-09-23,NA,1000.222,10.716,0.796,NA,13.902
2015-09-24,NA,1002.417,35.412,1.99,NA,13.83
2015-09-25,NA,1011.708,48.506,0,NA,13.731
2015-09-26,NA,1015.625,45.043,0,NA,13.611
2015-09-27,NA,1019.5,40.876,0,NA,13.611
2015-09-28,NA,1020.917,41.461,0,NA,13.627
2015-09-29,NA,1022.25,28.484,0,NA,13.625
2015-09-30,NA,1022.958,53.223,0,NA,13.618
2015-10-01,NA,1021.917,37.438,0.199,NA,13.528
2015-10-02,NA,1016.174,3.856,0.199,NA,13.409
2015-10-03,NA,1006.708,87.384,0,NA,13.307
2015-10-04,NA,997.625,46.543,0,NA,13.221
2015-10-05,NA,983.417,25.231,7.96,NA,13.186
2015-10-06,NA,985.167,11.079,0.199,NA,13.222
2015-10-07,NA,1002.042,41.783,0.199,NA,13.266
2015-10-08,NA,1007.792,45.473,0.199,NA,13.184
2015-10-09,NA,1008.417,35.72,0,NA,13.042
2015-10-10,NA,1007.917,28.512,0,NA,12.976
2015-10-11,NA,1008,55.743,0,NA,12.998
2015-10-12,NA,1014.625,40.725,0,NA,12.998
2015-10-13,NA,1017.417,44.371,0,NA,12.953
2015-10-14,NA,1014.792,43.809,0,NA,12.741
2015-10-15,NA,1013.708,61.415,0,NA,12.536
2015-10-16,NA,1015.5,36.982,0,NA,12.459
2015-10-17,NA,1013.458,21.54,0,NA,12.337
2015-10-18,NA,1012.833,35.142,0,NA,12.286
2015-10-19,NA,1016.583,22.681,0,NA,12.234
2015-10-20,NA,1017.458,-0.285,2.388,NA,12.213
2015-10-21,NA,1007.292,5.885,0.398,NA,12.122
2015-10-22,NA,1007.917,21.795,0,NA,12.154
2015-10-23,NA,1002.875,12.295,0.199,NA,12.177
2015-10-24,NA,1003.458,-6.746,19.502,NA,12.189
2015-10-25,NA,1007.583,5.835,0,NA,12.149
2015-10-26,NA,990.417,-14.309,17.512,NA,11.938
2015-10-27,NA,991.5,-42.303,6.169,NA,11.865
